SUMMARY_LEVEL,SUMMARY_LEVEL_2,COUNTRY_CODE,COUNTRY_NAME,COUNTRY_SUBCODE,GENERAL_VALUES_MONTH,GENERAL_VALUES_YEAR,DISTRICT,DISTRICT_NAME,MONTHLY_CONSUMPTION_VALUE,YEARLY_CONSUMPTION_VALUE,COMMODITY_DESCRIPTION,COMMODITY,YEAR,MONTH
CGP,HSCYDT,0003,EUROPEAN UNION,-,128688,128688,29,"COLUMBIA-SNAKE, OR",128688,128688,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,128240,128240,30,"SEATTLE, WA",128240,128240,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,149392,149392,33,"GREAT FALLS, MT",149392,149392,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,84575,84575,38,"DETROIT, MI",84575,84575,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,516849,516849,39,"CHICAGO, IL",517175,517175,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,346542,346542,41,"CLEVELAND, OH",346542,346542,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,867554,867554,52,"MIAMI, FL",867554,867554,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,829753,829753,53,"HOUSTON-GALVESTON, TX",829753,829753,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0003,EUROPEAN UNION,-,10656,10656,55,"DALLAS-FORT WORTH, TX",10656,10656,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,28479,28479,02,"ST. ALBANS, VT",28479,28479,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,48819,48819,07,"OGDENSBURG, NY",48819,48819,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,129219,129219,09,"BUFFALO, NY",129219,129219,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,5704119,5704119,10,"NEW YORK CITY, NY",5704119,5704119,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,1545912,1545912,11,"PHILADELPHIA, PA",1545912,1545912,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,3476695,3476695,13,"BALTIMORE, MD",3476695,3476695,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,1679557,1679557,20,"NEW ORLEANS, LA",1679557,1679557,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,795033,795033,14,"NORFOLK, VA",795033,795033,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,4792462,4792462,16,"CHARLESTON, SC",4792462,4792462,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,721838,721838,18,"TAMPA, FL",721838,721838,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,354491,354491,23,"LAREDO, TX",354491,354491,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,514732,514732,27,"LOS ANGELES, CA",514732,514732,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,9001418,9001418,28,"SAN FRANCISCO, CA",9001418,9001418,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,230400,230400,29,"COLUMBIA-SNAKE, OR",230400,230400,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,2945062,2945062,30,"SEATTLE, WA",2945062,2945062,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,141733,141733,34,"PEMBINA, ND",141733,141733,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,339803,339803,35,"MINNEAPOLIS, MN",339803,339803,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,9677,9677,38,"DETROIT, MI",9677,9677,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,240325,240325,39,"CHICAGO, IL",240325,240325,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,6008,6008,41,"CLEVELAND, OH",6008,6008,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,132192,132192,45,"ST. LOUIS, MO",132192,132192,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0014,PACIFIC RIM COUNTRIES,-,549703,549703,53,"HOUSTON-GALVESTON, TX",549703,549703,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,32801,32801,02,"ST. ALBANS, VT",32801,32801,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,189941,189941,07,"OGDENSBURG, NY",189941,189941,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,31567,31567,09,"BUFFALO, NY",31567,31567,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,6976368,6976368,10,"NEW YORK CITY, NY",6976368,6976368,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,5813,5813,11,"PHILADELPHIA, PA",5813,5813,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,727952,727952,13,"BALTIMORE, MD",727952,727952,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,729292,729292,14,"NORFOLK, VA",729292,729292,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,2197786,2197786,16,"CHARLESTON, SC",2197786,2197786,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,1632404,1632404,18,"TAMPA, FL",1632404,1632404,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,10628536,10628536,20,"NEW ORLEANS, LA",10628536,10628536,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,109371,109371,23,"LAREDO, TX",109371,109371,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,379251,379251,27,"LOS ANGELES, CA",379251,379251,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,1982462,1982462,28,"SAN FRANCISCO, CA",1982462,1982462,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,338766,338766,29,"COLUMBIA-SNAKE, OR",338766,338766,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,3342010,3342010,30,"SEATTLE, WA",3342010,3342010,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,9360,9360,33,"GREAT FALLS, MT",9360,9360,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,58190,58190,34,"PEMBINA, ND",58190,58190,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,590712,590712,52,"MIAMI, FL",590712,590712,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,434374,434374,35,"MINNEAPOLIS, MN",434374,434374,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,399986,399986,38,"DETROIT, MI",399986,399986,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,3208,3208,39,"CHICAGO, IL",3208,3208,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0017,CAFTA-DR,-,4501622,4501622,53,"HOUSTON-GALVESTON, TX",4501622,4501622,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,248508,248508,02,"ST. ALBANS, VT",248508,248508,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,2053299,2053299,07,"OGDENSBURG, NY",2053299,2053299,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,11770990,11770990,09,"BUFFALO, NY",11770990,11770990,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,2880226,2880226,10,"NEW YORK CITY, NY",2880226,2880226,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,186630,186630,14,"NORFOLK, VA",186630,186630,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,53964,53964,16,"CHARLESTON, SC",53964,53964,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,0,0,18,"TAMPA, FL",106922,106922,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,1648772,1648772,20,"NEW ORLEANS, LA",1648772,1648772,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,2222031,2222031,23,"LAREDO, TX",2222031,2222031,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,962296,962296,25,"SAN DIEGO, CA",962296,962296,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,4262,4262,26,"NOGALES, AZ",4262,4262,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,92182,92182,27,"LOS ANGELES, CA",92182,92182,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,339144,339144,28,"SAN FRANCISCO, CA",339144,339144,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,102072,102072,29,"COLUMBIA-SNAKE, OR",102072,102072,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,2726623,2726623,30,"SEATTLE, WA",2726623,2726623,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,333189,333189,34,"PEMBINA, ND",333189,333189,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,11893644,11893644,38,"DETROIT, MI",11893644,11893644,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,3369153,3369153,49,"SAN JUAN, PR",3369153,3369153,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,87094,87094,52,"MIAMI, FL",87094,87094,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0020,NAFTA,-,2030250,2030250,53,"HOUSTON-GALVESTON, TX",2030250,2030250,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,131301,131301,02,"ST. ALBANS, VT",131301,131301,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,796007,796007,07,"OGDENSBURG, NY",796007,796007,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,416880,416880,09,"BUFFALO, NY",416880,416880,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,54633554,54633554,10,"NEW YORK CITY, NY",54633554,54633554,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,5813,5813,11,"PHILADELPHIA, PA",5813,5813,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,35120760,35120760,13,"BALTIMORE, MD",35120760,35120760,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,23537227,23537227,14,"NORFOLK, VA",23537227,23537227,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,40825737,40825737,16,"CHARLESTON, SC",40825737,40825737,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,62500,62500,24,"EL PASO, TX",62500,62500,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,17118603,17118603,18,"TAMPA, FL",17225525,17225525,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,35678762,35678762,20,"NEW ORLEANS, LA",35678762,35678762,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,3000771,3000771,23,"LAREDO, TX",3000771,3000771,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,962296,962296,25,"SAN DIEGO, CA",962296,962296,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,4262,4262,26,"NOGALES, AZ",4262,4262,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,4030540,4030540,27,"LOS ANGELES, CA",4030540,4030540,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,36042246,36042246,28,"SAN FRANCISCO, CA",36042246,36042246,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,1657555,1657555,29,"COLUMBIA-SNAKE, OR",1657555,1657555,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,23492384,23492384,30,"SEATTLE, WA",23492384,23492384,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,9360,9360,33,"GREAT FALLS, MT",9360,9360,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,76710,76710,34,"PEMBINA, ND",76710,76710,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,4025078,4025078,35,"MINNEAPOLIS, MN",4025078,4025078,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,818495,818495,38,"DETROIT, MI",818495,818495,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,2529395,2529395,39,"CHICAGO, IL",2529395,2529395,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,53070,53070,45,"ST. LOUIS, MO",53070,53070,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,3399685,3399685,49,"SAN JUAN, PR",3399685,3399685,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,1637061,1637061,52,"MIAMI, FL",1637061,1637061,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0021,TWENTY LATIN AMERICAN REPUBLICS,-,22039728,22039728,53,"HOUSTON-GALVESTON, TX",22039728,22039728,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,248508,248508,02,"ST. ALBANS, VT",248508,248508,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,115136,115136,04,"BOSTON, MA",115136,115136,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,2073909,2073909,07,"OGDENSBURG, NY",2073909,2073909,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,11815785,11815785,09,"BUFFALO, NY",11815785,11815785,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,18571468,18571468,10,"NEW YORK CITY, NY",18571468,18571468,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,110163,110163,11,"PHILADELPHIA, PA",110163,110163,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,2373020,2373020,13,"BALTIMORE, MD",2373020,2373020,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,1511122,1511122,14,"NORFOLK, VA",1511122,1511122,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,9234,9234,15,"WILMINGTON, NC",9234,9234,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,654535,654535,16,"CHARLESTON, SC",654535,654535,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,672023,672023,18,"TAMPA, FL",778945,778945,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,2091259,2091259,20,"NEW ORLEANS, LA",2091259,2091259,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,2222031,2222031,23,"LAREDO, TX",2222031,2222031,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,1626697,1626697,28,"SAN FRANCISCO, CA",1626697,1626697,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,962296,962296,25,"SAN DIEGO, CA",962296,962296,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
CGP,HSCYDT,0022,OECD,-,4262,4262,26,"NOGALES, AZ",4262,4262,COFFEE; COFFEE HUSKS ETC; SUBSTITUTES WITH COFFEE,0901,2019,01
