COUNTRY_CODE,COUNTRY_NAME,DOMESTIC_FOREIGN_CODE,DISTRICT,DISTRICT_NAME,ALL_VALUES_MONTH,ALL_VALUES_YEAR,COMMODITY_DESCRIPTION,COMMODITY,YEAR,MONTH
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,355897889,1828847557,"Vaccines, Blood, and Immunological products",3002,2019,09
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2463416808,21604891261,"Vaccines, Blood, and Immunological products",3002,2019,10
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,2136744320,19449371216,"Vaccines, Blood, and Immunological products",3002,2019,10
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,326672488,2155520045,"Vaccines, Blood, and Immunological products",3002,2019,10
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2154363803,23759255064,"Vaccines, Blood, and Immunological products",3002,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1917207778,21366578994,"Vaccines, Blood, and Immunological products",3002,2019,11
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,237156025,2392676070,"Vaccines, Blood, and Immunological products",3002,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1568829566,22935408560,"Vaccines, Blood, and Immunological products",3002,2019,12
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,199813779,2592489849,"Vaccines, Blood, and Immunological products",3002,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1768643345,25527898409,"Vaccines, Blood, and Immunological products",3002,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,112708632,112708632,Medication (unmeasured doses),3003,2019,01
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,111132094,111132094,Medication (unmeasured doses),3003,2019,01
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,1576538,1576538,Medication (unmeasured doses),3003,2019,01
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,90764234,203472866,Medication (unmeasured doses),3003,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,88672798,199804892,Medication (unmeasured doses),3003,2019,02
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,2091436,3667974,Medication (unmeasured doses),3003,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,117091382,316896274,Medication (unmeasured doses),3003,2019,03
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,2382003,6049977,Medication (unmeasured doses),3003,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,119473385,322946251,Medication (unmeasured doses),3003,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,131867731,454813982,Medication (unmeasured doses),3003,2019,04
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,128328912,445225186,Medication (unmeasured doses),3003,2019,04
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,3538819,9588796,Medication (unmeasured doses),3003,2019,04
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,152877328,607691310,Medication (unmeasured doses),3003,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,147158099,592383285,Medication (unmeasured doses),3003,2019,05
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,5719229,15308025,Medication (unmeasured doses),3003,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,120507347,712890632,Medication (unmeasured doses),3003,2019,06
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,3379969,18687994,Medication (unmeasured doses),3003,2019,06
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,123887316,731578626,Medication (unmeasured doses),3003,2019,06
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,124782695,837673327,Medication (unmeasured doses),3003,2019,07
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,5849247,24537241,Medication (unmeasured doses),3003,2019,07
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,130631942,862210568,Medication (unmeasured doses),3003,2019,07
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,155845574,993518901,Medication (unmeasured doses),3003,2019,08
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,1166673,25703914,Medication (unmeasured doses),3003,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,157012247,1019222815,Medication (unmeasured doses),3003,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,74204045,1093426860,Medication (unmeasured doses),3003,2019,09
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,73363204,1066882105,Medication (unmeasured doses),3003,2019,09
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,840841,26544755,Medication (unmeasured doses),3003,2019,09
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,133678511,1227105371,Medication (unmeasured doses),3003,2019,10
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,125393182,1192275287,Medication (unmeasured doses),3003,2019,10
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,8285329,34830084,Medication (unmeasured doses),3003,2019,10
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,78335152,1305440523,Medication (unmeasured doses),3003,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,77693058,1269968345,Medication (unmeasured doses),3003,2019,11
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,642094,35472178,Medication (unmeasured doses),3003,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,95705477,1365673822,Medication (unmeasured doses),3003,2019,12
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,8498802,43970980,Medication (unmeasured doses),3003,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,104204279,1409644802,Medication (unmeasured doses),3003,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1848371435,1848371435,Medication (measured doses),3004,2019,01
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1631324800,1631324800,Medication (measured doses),3004,2019,01
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,217046635,217046635,Medication (measured doses),3004,2019,01
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1706869763,3555241198,Medication (measured doses),3004,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1441966640,3073291440,Medication (measured doses),3004,2019,02
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,264903123,481949758,Medication (measured doses),3004,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1741426684,4814718124,Medication (measured doses),3004,2019,03
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,254574877,736524635,Medication (measured doses),3004,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1996001561,5551242759,Medication (measured doses),3004,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1887650534,7438893293,Medication (measured doses),3004,2019,04
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1606070524,6420788648,Medication (measured doses),3004,2019,04
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,281580010,1018104645,Medication (measured doses),3004,2019,04
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2091032725,9529926018,Medication (measured doses),3004,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1772841768,8193630416,Medication (measured doses),3004,2019,05
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,318190957,1336295602,Medication (measured doses),3004,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1669098042,9862728458,Medication (measured doses),3004,2019,06
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,225546489,1561842091,Medication (measured doses),3004,2019,06
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1894644531,11424570549,Medication (measured doses),3004,2019,06
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1599500801,11462229259,Medication (measured doses),3004,2019,07
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,232825549,1794667640,Medication (measured doses),3004,2019,07
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1832326350,13256896899,Medication (measured doses),3004,2019,07
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1886165090,13348394349,Medication (measured doses),3004,2019,08
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,221281720,2015949360,Medication (measured doses),3004,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,2107446810,15364343709,Medication (measured doses),3004,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1943591457,17307935166,Medication (measured doses),3004,2019,09
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1734815905,15083210254,Medication (measured doses),3004,2019,09
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,208775552,2224724912,Medication (measured doses),3004,2019,09
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1972261202,19280196368,Medication (measured doses),3004,2019,10
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1702000049,16785210303,Medication (measured doses),3004,2019,10
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,270261153,2494986065,Medication (measured doses),3004,2019,10
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1989095224,21269291592,Medication (measured doses),3004,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1800245345,18585455648,Medication (measured doses),3004,2019,11
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,188849879,2683835944,Medication (measured doses),3004,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,1366299769,19951755417,Medication (measured doses),3004,2019,12
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,166505675,2850341619,Medication (measured doses),3004,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,1532805444,22802097036,Medication (measured doses),3004,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,60590817,60590817,Medically-Treated Bandages,3005,2019,01
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,49502585,49502585,Medically-Treated Bandages,3005,2019,01
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,11088232,11088232,Medically-Treated Bandages,3005,2019,01
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,60332642,120923459,Medically-Treated Bandages,3005,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,49399354,98901939,Medically-Treated Bandages,3005,2019,02
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,10933288,22021520,Medically-Treated Bandages,3005,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,60749846,159651785,Medically-Treated Bandages,3005,2019,03
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,11439754,33461274,Medically-Treated Bandages,3005,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,72189600,193113059,Medically-Treated Bandages,3005,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,63980933,257093992,Medically-Treated Bandages,3005,2019,04
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,53620749,213272534,Medically-Treated Bandages,3005,2019,04
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,10360184,43821458,Medically-Treated Bandages,3005,2019,04
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,73761173,330855165,Medically-Treated Bandages,3005,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,62454164,275726698,Medically-Treated Bandages,3005,2019,05
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,11307009,55128467,Medically-Treated Bandages,3005,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,54796601,330523299,Medically-Treated Bandages,3005,2019,06
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,11558126,66686593,Medically-Treated Bandages,3005,2019,06
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,66354727,397209892,Medically-Treated Bandages,3005,2019,06
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,56609399,387132698,Medically-Treated Bandages,3005,2019,07
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,8926728,75613321,Medically-Treated Bandages,3005,2019,07
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,65536127,462746019,Medically-Treated Bandages,3005,2019,07
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,54728639,441861337,Medically-Treated Bandages,3005,2019,08
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,13380557,88993878,Medically-Treated Bandages,3005,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,68109196,530855215,Medically-Treated Bandages,3005,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,57565800,588421015,Medically-Treated Bandages,3005,2019,09
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,47919777,489781114,Medically-Treated Bandages,3005,2019,09
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,9646023,98639901,Medically-Treated Bandages,3005,2019,09
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,67975023,656396038,Medically-Treated Bandages,3005,2019,10
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,55717675,545498789,Medically-Treated Bandages,3005,2019,10
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,12257348,110897249,Medically-Treated Bandages,3005,2019,10
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,59319812,715715850,Medically-Treated Bandages,3005,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,48470814,593969603,Medically-Treated Bandages,3005,2019,11
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,10848998,121746247,Medically-Treated Bandages,3005,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,52164452,646134055,Medically-Treated Bandages,3005,2019,12
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,11223768,132970015,Medically-Treated Bandages,3005,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,63388220,779104070,Medically-Treated Bandages,3005,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,157115701,157115701,Surgical Equipment,3006,2019,01
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,117785545,117785545,Surgical Equipment,3006,2019,01
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,39330156,39330156,Surgical Equipment,3006,2019,01
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,170505872,327621573,Surgical Equipment,3006,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,126656723,244442268,Surgical Equipment,3006,2019,02
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,43849149,83179305,Surgical Equipment,3006,2019,02
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,152389773,396832041,Surgical Equipment,3006,2019,03
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,52090111,135269416,Surgical Equipment,3006,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,204479884,532101457,Surgical Equipment,3006,2019,03
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,172201563,704303020,Surgical Equipment,3006,2019,04
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,133950602,530782643,Surgical Equipment,3006,2019,04
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,38250961,173520377,Surgical Equipment,3006,2019,04
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,156796835,861099855,Surgical Equipment,3006,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,120894439,651677082,Surgical Equipment,3006,2019,05
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,35902396,209422773,Surgical Equipment,3006,2019,05
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,132894117,784571199,Surgical Equipment,3006,2019,06
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,37227317,246650090,Surgical Equipment,3006,2019,06
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,170121434,1031221289,Surgical Equipment,3006,2019,06
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,118883790,903454989,Surgical Equipment,3006,2019,07
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,33825354,280475444,Surgical Equipment,3006,2019,07
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,152709144,1183930433,Surgical Equipment,3006,2019,07
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,122193743,1025648732,Surgical Equipment,3006,2019,08
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,37720662,318196106,Surgical Equipment,3006,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,159914405,1343844838,Surgical Equipment,3006,2019,08
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,169972527,1513817365,Surgical Equipment,3006,2019,09
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,124944919,1150593651,Surgical Equipment,3006,2019,09
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,45027608,363223714,Surgical Equipment,3006,2019,09
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,180753106,1694570471,Surgical Equipment,3006,2019,10
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,141785740,1292379391,Surgical Equipment,3006,2019,10
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,38967366,402191080,Surgical Equipment,3006,2019,10
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,162130976,1856701447,Surgical Equipment,3006,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,129457467,1421836858,Surgical Equipment,3006,2019,11
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,32673509,434864589,Surgical Equipment,3006,2019,11
-,TOTAL FOR ALL COUNTRIES,1,-,TOTAL FOR ALL DISTRICTS,126542497,1548379355,Surgical Equipment,3006,2019,12
-,TOTAL FOR ALL COUNTRIES,2,-,TOTAL FOR ALL DISTRICTS,25864680,460729269,Surgical Equipment,3006,2019,12
-,TOTAL FOR ALL COUNTRIES,-,-,TOTAL FOR ALL DISTRICTS,152407177,2009108624,Surgical Equipment,3006,2019,12
